Lajinumero,laji,"Kaikki Tammikuu, Helmikuu","Ensimmäiset viisi havaintoa 1.1. alkaen (x), ensimmäinen yli 10 yksilön havaint (10), enimmäinen yli sadan yksilön havainto (100)  ensimmäinen yli tuhannen yksilön havainto (1000)",Viimeiset viisi havaintoa vuoden lopusta,Vuoden viisi suurinta määrää,"Alkuvuoden viisi suurinta määrää, kuukaudet tammikuu – kesäkuu","Loppuvuoden viisi suurinta määrää, kuukaudet kuukaudet heinäkuu – joulukuu","Viisi suurinta kevään määrää, kuukaudet maaliskuu – toukokuu","Viisi kesän suurinta määrää, kuukaudet kesä-elokuu","Viisi suurinta syyskauden määrää, kuukaudet elokuu - lokakuu","Viisi talviajan suurinta määrää, kuukaudet tammi-helmikuu ja joulukuu",kaikki havainnot,kaikki kevään havainnot kuukaudet maaliskuu – toukokuu,kaikki kesän havainnot kuukauden kesäkuu – elokuu,"kaikki syksyn havainnot, kuukaudet elokuu – lokakuu","Kaikki tammi-helmikuun ja joulukuun havainnot, ei Oulusta","kaikki havainnot, kunnat Taivalkoski ja Pudasjärvi","kaikki havainnot, ei kunnat Taivalkoski ja Pudasjärvi",Havaintojen lukumäärä kunnittai kunnan nimi tai  nimilyhenne),Kaikki joulukuu,"Salatut hvainnot; jos laji on salattu (merkintä salattu TIIIRA-aineistossa) JA laji tulee lajilistauskeen, merkitään seuraavsti ***SALATTU HAVAINTO ***"
214,Taigauunilintu,,,,,,,,,,,x,,,,,,,,,x
215,Sirittäjä,,x,x,,,,x,x,x,,,,,,,,,,,x
216,Tiltaltti,,x,x,,,,x,x,x,,,,,,,,,,,x
217,Pajulintu,,x,x,,x,x,,,,,,,,,,,,,,x
218,Hippiäinen,,,,,,,x,x,x,x,,,,,,,,,,x
219,Harmaasieppo,,x,x,,x,x,,,,,,,,,,,,,,x
220,Pikkusieppo,,,,,,,,,,,x,,,,,,,,,x
221,Kirjosieppo,,x,x,,x,x,,,,,,,,,,,,,,x
222,Viiksitimali,,,,,,,,,,,x,,,,,,,,,x
223,Pyrstötiainen,x,x,x,,,,x,x,x,x,,,,,,,,,x,x
224,Sinitiainen,,,,,x,x,,,,,,,,,,,,,,x
225,Talitiainen,,,,,x,x,,,,,,,,,,,,,,x
226,Kuusitiainen,,,,,x,x,,,,,,,,,,,,,,x
227,Töyhtötiainen,,,,,x,x,,,,,,,,,,,,,,x
228,Hömötiainen,,,,,x,x,,,,,,,,,,,,,,x
229,Lapintiainen,,,,,,,,,,,x,,,,,,,,,x
230,Hömötiainen x lapintiainen,,,,,,,,,,,x,,,,,,,,,x
231,Pähkinänakkeli,,,,,,,,,,,x,,,,,,,,,x
232,Puukiipijä,,,,,x,x,,,,,,,,,,,,,,x
233,Kuhankeittäjä,,,,,,,,,,,x,,,,,,,,,x
234,Pikkulepinkäinen,,x,x,,x,x,,,,,,,,x,,,,,,x
235,Isolepinkäinen,x,x,x,,x,x,,,,,,,,,,,,,x,x
236,Närhi,,,,,x,x,,,,,,,,,,,,,,x
237,Kuukkeli,,,,,x,x,,,,,,,,,,,x,,,x
238,Harakka,,,,,x,x,,,,,,,,,,,,,,x
239,Pähkinähakki,x,,,,x,x,,,,,,x,x,,,,,,x,x
240,Naakka,,,,,x,x,,,,,,,,,,,,,x,x
241,Mustavaris,x,x,x,,,,x,x,x,x,,,,,,,,,x,x
242,Varis,,100;500,,,x,x,,,,,,,,,,,,,,x
243,Korppi,,100,,,x,x,,,,,,,,,,,,,,x
244,Kottarainen,x,x,x,,x,x,,,,,,,,,,,,,x,x
245,Varpunen,,,,,x,x,,,,,,,,,,,,,,x
246,Pikkuvarpunen,,,,,x,x,,,,,,,,,,x,,,,x
247,Varpunen x pikkuvarpunen,,,,,,,,,,,x,,,,,,,,,x
248,Peippo,x,x,x,,x,x,,,,,,,,,,,,,x,x
249,Järripeippo,x,x,x,,x,x,,,,,,,,,,,,,x,x
250,Viherpeippo,,,,,x,x,,,,,,,,,,,,,,x
251,Tikli,x,x,,,x,x,,,,,,,,,,,,,,x
252,Vihervarpunen,x,x,x,,x,x,,,,,,,,,,,,,x,x
253,Hemppo,x,x,x,,x,x,,,,,,,,,,,,,x,x
254,Vuorihemppo,x,x,x,,x,x,,,,,,,x,,,,,,x,x
255,Urpiainen,,x,x,,x,x,,,,x,,,,,,,,,,x
256,Tundraurpiainen,,x,x,,x,x,,,,x,,,x,,,,,,,x
257,Kirjosiipikäpylintu,x,,,,,,x,x,x,,,,,,,,,,x,x
258,Pikkukäpylintu,x,,,,,,x,x,x,,,,,,,,,,x,x
259,Isokäpylintu,x,,,,,,x,x,x,,,,,,,,,,x,x
260,Käpylintulaji,x,,,,,,x,x,x,,,,,,,,,,x,x
261,Punavarpunen,x,x,x,,x,x,,,,,,,,,,,,,x,x
262,Taviokuurna,,,,,x,x,,,,,,,x,,,,,,,x
263,Punatulkku,,,,,x,x,,,,,,,,,,,,,,x
264,Nokkavarpunen,,,,,,,,,,,x,,,,,,,,,x
265,Lapinsirkku,x,x,x,,x,x,,,,,,,x,,,,,,x,x
266,Pulmunen,x,x,x,,x,x,,,,,,,x,,,,,,x,x
267,Keltasirkku,,,,,x,x,,,,,,,,,,,,,,x
268,Peltosirkku,x,x,x,,x,x,,,,,,,,,,x,,,x,x
269,Pohjansirkku,x,x,x,,x,x,,,,,,,,,,,,,x,x
270,Pikkusirkku,,,,,,,,,,,x,,,,,,,,,x
271,Pajusirkku,x,x,x,,x,x,,,,,,,,,,,,,x,x
272,Pikkulintu,,,,,,,x,x,x,x,,,,,,,,,,x
,,,,,,,,,,,,,,,,,,,,,
nbr,laji,Kaikki Talvi 1-2,ekat,vikat,suuret,Suuret 1-6,Suuret 7-12,suuret kevät (3-5),suuret kesä (6-8),suuret syksy (9-11),"suuret talvi 1,2,12",kaikki,kaikki kevät (3-5),kaikki kesä (6-8),kaikki syksy (9-11),talvi ei oulu,kaikki KOI,kaikki ei KOI,kunnat,Kaikki Talvi 12,UUSI
